4.81:14.8682177815635,-14.63:11.0187612733919,-2.23:16.3919827964771,-5.675:14.9936444869151,-8.275:14.2397111979141,-1.855:15.2178833942175,1.485:16.6778228495209,-0.255:16.6051189396523,-6.065:15.4641771523738,6.41:15.8114483840033,-2.675:16.1142599892145,-7.64:15.8496182919337,-11.82:11.6678018495345,-1.415:17.4543053428087,1.19:16.8559752016903,-6.5:16.15704180845,0.83:16.7532414773977,-9.19:15.0742794189308,0.14:15.5589331253785,-11.315:14.9721666768708,-5.2:16.2794348796265,-3.455:15.8741291099701,-8.11:15.1511682717868,-3.51:16.1307129414667,-3.22:13.3847525191914,3.15:16.0273984164617,-7.695:14.0581639981898,-5.68:16.2406157518734,2.07:16.3864303617353,-7.385:12.1744311982121,-0.19:16.1778830506343,0.795:15.5715437577653,1.275:16.2843291234242,-0.3:16.2708327998293,-3.535:13.5254861280473,-1.365:16.1824526880198,-4.75:14.7555921602625,-5.215:13.9906674251088,2.265:15.9127236826384,3.5:15.2131522045893,3.945:16.652086205638,0.305:14.9325809892329,-4.87:15.4775030285896,-9.965:12.7614174369464,-4.2:14.197182819137,2.145:14.8058763671726,0.57:14.9534310444125,-4.47:15.3450024437926,1.19:16.4512583105366,-8.21:14.6473854322196,-7.705:13.7912281904115,-0.215:15.3521586430052,1.48:14.8347430041777,0.04:15.8312475819185,-6.575:13.8605329984095,-9.52:13.5509999631024,-0.975:15.2100090401025,0.4:15.2170956493018,5.595:15.6569784760662,-8.89:14.3620298008325,-12.12:13.2934419922005,-8.05:15.0737354361817,8.635:15.374386979649,-5.745:15.5029021476625,-4.905:14.6101326140456,-1.14:15.1848740528198,5:15.560526983364,3.58:15.0799071615179,-0.22:17.3020692404117,5.545:16.1514078333748,-9.075:15.4272283641618,6.62:15.0188414999293,-4.585:15.3565222299842,-4.98:14.3899131338587,-3.31:15.1236205982562,-9.61:12.692040813045,0.135:16.4267091956971,-4:15.3648950533351,4.505:15.6313778983172,3.15:16.2815079154236,-1.545:14.3609879534801,-10.825:14.2071944802625,4.935:16.0860428633023,-2.09:14.7350568373522,0.325:16.7002806862639,7.505:15.724502376864,-9.825:14.6708682428819,-3.76:14.6048758981376,-5.345:14.4328089781581,-2.335:17.8539288393339,-5.02:15.7486380363509,-1.87:14.5087249612087,-1.88:14.8282028580675,-1.38:15.2897220380228,-3.77:15.4647049761707,0.26:15.3770088118593,4.15:16.0049211182061,-6.285:15.3890797320698,0.535:17.0214210628843,-7.4:14.2393820090621,
-4.445:14.870675001492,-11.645:12.7991786845875,-5.465:16.0477031066754,-3.585:16.0696227398156,-8.695:14.6445203062442,-1.035:15.1988083414457,-5.765:14.7013528289066,-10.835:15.7148902318788,6.785:15.5659492161577,6.45:16.1551075514835,-5.965:14.5596625991127,-7.12:14.5696808475684,-2.505:15.068177560674,-10.05:15.4802293264667,-3.865:15.3865777546536,3.195:15.8555029879219,-13.405:11.8448712529938,-4.355:14.5732280226448,-3.67:14.9680025387491,-1.04:15.485102518227,-2.995:15.5417172474601,-3.46:15.4514853654916,-1.335:16.8577215245715,-2.08:16.1707637420129,-7.415:14.5455414130929,-6.085:14.2498342095619,-5.615:15.1484908489262,-9.17:14.5114127499703,-3.12:15.3494495015294,3.05:16.1417935806403,-0.93:15.7884483088111,0.41:15.7131123587913,-13.01:15.2728484573114,-1.74:15.1687969199934,-5.805:14.0063191096019,-7.415:13.9618327951598,-3.92:15.0201065242561,-5.795:13.9968916192132,-3.895:14.9811206189657,-0.985:14.8366025423612,8.6:15.5505626907839,-4.13:14.3399128309763,-2.08:18.2264533028233,-11.625:12.044267308558,-5.935:14.0904497799041,0.045:15.1272262824353,-5.2:14.346776641462,-8.235:16.056767264926,0.975:14.0650053323843,-5.415:15.3255595330154,2.285:17.4634983608669,-4.655:13.2723763885749,1.06:15.3690077753901,-4.425:15.5638804608619,-10.575:13.4623317073975,3.11:14.3194937061336,-1.72:14.452736765056,-8.125:12.6948562418012,6.72:15.8458701244204,1.56:15.2113904689874,-8.65:14.1530032148657,-7.79:14.1681297283728,8.905:14.9961986850001,2.5:16.1854873266145,-3.515:16.3425755314149,-5.14:14.6290942986912,5.59:15.4525693656427,-7.025:14.7062699213635,-4.015:14.9263115001664,6.09:16.1208529551013,-2.89:17.5319109055459,7.77:14.2252275904465,-2.26:15.0310478676638,-0.605:16.4993628664867,1.71:15.8652418828078,-5.125:13.9323140576144,0.815:14.6311576780513,-9.11:15.2406659959465,7.54:14.4585061469019,2.05:16.11296062181,-1.275:15.1399925693509,-4.415:16.440279042644,-0.885:15.8736188375556,-2.975:16.5273825816431,-7.355:16.4380344019594,8.22:15.2115613925724,-8.56:13.817973802262,-4.295:13.899207711233,-3.47:17.4146231656042,-2.01:15.9928077584894,-1.525:16.0645378084774,-5.125:15.8568400067605,-12.08:14.0614224031568,-1.61:15.0515082300745,-12.05:13.1460069983246,-2.01:16.0396352826366,-3.745:14.9843243090905,-10.23:12.8882543426175,-3.97:14.8690652026279,-5.46:16.6783812164131,
-1.86:15.701605013501,-10.7:12.3219316667477,-1.53:15.9134879897526,-1.805:15.4731048920377,-5.035:16.0624959143964,-2.3:16.4295465549114,-4.97:15.8539931878376,-11.195:14.5927027996872,2.935:16.3505588589504,6.15:15.6216996514464,-9.8:12.5291659738388,-6.745:15.692354029909,-2.74:15.6253767954568,-7.925:14.8925946362613,-7.48:16.6466092643517,4.9:15.8297188856909,-11.435:11.9818936316427,-3.335:14.2036183770193,-4.435:14.8689533928922,-3.585:14.7706728011963,-1.805:14.276798485655,-2.425:16.5183042410533,-2.74:16.8749044441739,-2.575:14.908198247944,-6.03:14.3919804057677,-7.015:14.112220767831,-4.125:14.3031246586192,-7.6:14.2916059279565,-0.185:15.8839785633197,2.24:15.6790433381632,-2.43:15.1385303117575,0.715:15.3656687130759,-12.255:15.058883590758,1.31:16.6145689080397,-3.185:15.7813426234906,-6.405:13.2767079880519,-1.835:16.2852011040699,-8.08:13.8532884182782,-0.25:17.2071932632838,-4.98:16.1585766699917,6.58:17.1205607384805,-2.335:13.8669670440223,-1.445:17.5723355021465,-8.915:14.5061288771333,-4.5:15.5319026522831,-3.15:15.8800976067529,-6.455:13.9426674277199,-9.445:16.4361484235206,-2.19:15.640457154444,-7.815:14.1099530474059,4.375:16.6230073993847,-3.435:13.7661096537838,-0.845:15.8310130756057,-2.75:16.3889444443503,-13.76:12.9442033358566,3.93:14.8766629322574,-1.68:14.1787728665072,-5.91:13.4466315484585,4.965:15.6596224411701,0.465:14.906333385511,-7.465:14.4450259605167,-7.455:14.838058329849,8.955:15.1740889347598,3.92:15.7341539334023,-3.575:17.4626565848384,-8.77:14.6825440574854,5.03:16.1052506965896,-8.69:13.5526344302501,-7.07:14.2216419586488,5.08:15.8058090586974,-4.265:16.9974931975277,5.645:16.2827815498458,-0.65:14.3051564129862,-1.745:16.0215472099295,-0.365:16.7690719779003,-3.205:14.2927595306155,-1.745:15.4983862063119,-8.99:14.4737659232143,5.865:14.5683483964381,2.36:15.7146555800628,-2.125:15.2872291472327,-8.565:15.2143279509809,-2.895:16.0484882465608,-1.82:15.8470060263761,-9.895:14.8826736509271,8.595:15.6572978192279,-5.965:14.2717824745194,-2.81:13.8875447794058,-5.085:16.503871515496,-2.75:16.3287323451638,-0.645:17.0651391731799,-4.27:15.8078176861956,-11.96:14.35229598357,-5.6:15.6582246758692,-12.1:13.9222842953303,-2.65:16.3761259154905,-7.785:13.4081607612677,-8.9:12.5821301853065,-3.415:15.7331743459481,-4.52:17.6068055024187,
-2.525:15.5044953158753,-8.63:13.3694839092614,-5.715:15.2873730575269,-5.94:16.3173649833544,-4.31:14.887037986114,-5.585:15.6691663785921,-1.915:14.7833614242499,-11.215:13.9963843545396,4.375:15.9913843991069,7.625:16.0007617006191,-6.455:15.1168110062936,-8.465:15.1798805990034,-4.335:15.5827717367611,-6.535:16.7113367209209,-8.135:15.5588166323792,3.93:14.9911673995056,-11.985:12.3355087045488,-2.23:15.8356275530842,-4.605:14.8643524917838,-1.065:16.2117480550371,-1.58:15.253969975059,-2.095:16.1166365908027,-6.475:16.2548262063918,-2.47:14.7434426101911,-8.88:14.8494309655286,-6.475:13.7320564738134,-1.755:14.7974651545459,-8.645:14.6362213361236,-2.58:17.0793325396515,4.425:15.4898152022547,-3.48:15.1966970095478,1.08:16.5134369529786,-12.235:14.8522649787835,-0.97:15.6671343901813,-5.71:13.7060534071628,-6.065:12.9132015782299,-6.855:14.5733995690779,-8.81:13.4273564039985,-1.015:15.0636906168442,-4.47:14.9060088554918,5.27:16.6846366457289,-5.92:13.6056458869103,0.695:16.9941747372445,-6.895:14.2903455171665,-5.65:14.6447089421402,-3.55:16.0781684280269,-7.315:14.5998553075022,-4.195:16.3375939170981,1.055:15.5049016443188,-2.97:14.755307519669,4.775:16.8072714918276,-5.015:13.2892729296978,1.585:15.889706573754,-3.135:14.7531954165869,-14.14:12.8689704327891,2.96:15.4401554396321,-3.905:14.9159637636996,-5.065:14.7763586515758,5.21:16.4558773694993,0.335:14.8725510589139,-6.04:14.9899432954231,-7.455:15.0754096130089,7.445:16.2066953756773,-1.61:16.6786660138034,-6.095:16.660011254498,-7.135:13.8241374052778,7.235:15.4660846693661,-7.13:13.9389059828955,-8.76:13.7598110452142,5.835:16.2784451038789,-4.04:16.9534185343252,9.225:13.9087876898024,-1.665:14.7113145231825,-2.22:16.0066111341533,3.72:16.2773339340323,-3.36:14.3321456872305,-3.785:15.5989991666132,-10.315:15.1527481005922,8.205:13.7037576963401,-1.065:15.3414723869647,-2.8:15.0864177325169,-7.72:16.8526437095193,-6.52:16.1217120678915,-0.2:15.2564740356348,-9.075:15.1125568650708,7.66:15.127603908088,-6.62:13.8692321344767,-1.675:13.8415813764179,-5.53:16.20583536878,-2.35:16.3345492744673,0.45:16.4790017901571,-8.245:16.4701237093107,-6.94:16.1804326270962,-6.135:14.8689870199688,-10.71:14.5332687307433,-4.79:16.0438742203995,-7.28:14.9067635655765,-11.82:11.136767933292,-5.425:14.507390358021,-7.61:15.799933544164,
-4.06:14.8440695228768,-8.73:14.2946528464318,-8.005:13.3268516537103,-4.635:16.2308895320004,-2.37:15.6394724974981,-7.345:14.4684475670336,-0.98:15.5621206781081,-15.055:11.8182898509048,4.785:16.8475153954522,5.655:16.5721445504195,-7.43:13.1112585208286,-7.71:14.7964826901531,-5.15:14.0223928057946,-10.39:14.7288119004895,-2.295:16.7749210132269,1.885:14.4017976308515,-12.385:12.3740363261144,1.925:15.1465961522713,-5.865:15.9614151941487,-4.26:15.9816269509709,-5.99:12.8409462268168,-0.955:16.7117615768057,-2.945:17.7488584139938,-3.065:16.020635911224,-5.52:15.4359839336532,-1.435:14.8733242753596,-2.89:14.8444568779056,-8.16:13.7329676326714,1.14:16.0707933842732,2.035:16.995992910095,-3.545:16.2916535379316,1.345:15.8954702667143,-12.215:14.6778327759925,-6.34:14.2096586869636,-5.06:14.1356428930558,-0.22:15.9320933966632,-6.885:14.2892188379911,-7.695:14.3077592585282,-0.65:15.3758739589007,-2.02:15.6971207550939,5.865:17.0463126511278,-4.985:12.8629224906318,-0.92:17.1820720519965,-5.99:15.2882274969991,-2.565:15.2727134131431,-3.97:16.1424626374045,-9.12:13.8768007840424,-5.985:15.4419809286244,0.825:14.1553655904749,-3.38:15.0640499202572,3.36:16.6889304630345,-4.2:14.3275957508579,-0.615:15.2773287913823,-3.845:15.7089456998234,-14.685:11.7951589645922,3.525:15.5489348509794,-3.38:13.8378322001678,-4.005:14.7923958505713,8.63:13.5400553913195,1.355:14.560184579874,-6.145:16.4235798472806,-6.585:14.6496680849772,8.63:15.7994651808218,0.625:16.5666645707577,-10.265:16.0372932566565,-8.87:14.1461337474237,4.625:15.5152948731244,-5.8:15.1079449297381,-9.625:12.3078988864875,7.885:15.8000561707862,-2.76:17.1957087670151,5.605:14.6607972157042,-2.265:14.8588281839451,1.315:16.3207161301212,4.71:15.7189662509976,-1.515:14.474107053632,-3.545:15.4705518647526,-10.23:14.8036178010647,7.135:13.3561512045948,1.53:15.3238082734025,-8.415:15.8225400931709,-6.44:16.4598420405543,-6.215:15.6632938745335,-1.065:15.5100217601395,-3.995:17.9831858968315,7.795:15.4121048205623,-7.88:14.2406320084468,-1.95:14.7995776966777,-4.585:15.5898292165116,-0.065:16.4320045946926,0.6:17.4745529270422,-3.78:17.3170898247945,-5.635:15.9812945345488,-6.185:14.8886122590388,-11.255:13.515545678958,-1.485:15.8442347558978,-3.775:16.2097000280696,-10.15:12.5521910437979,-6.265:14.2209273607596,-7.65:15.662933952488,
-2.26:15.2755490899673,-9.29:14.478117971615,-9.505:13.4473036330708,-4.385:16.3538000171214,-6.56:14.6971561875078,-9.225:13.9471995396925,-2.525:14.4785833215823,-10.98:14.5161840715802,5.785:16.3700572692951,7.22:16.6481710707212,-5.91:14.5609718082276,-6.435:14.9621447326244,-5.53:15.3703968719093,-8.32:15.1851111289974,-7.32:15.7101113936216,0.785:14.4121051550424,-11.22:10.721082034944,1.75:16.8501483672993,-5.45:15.2324489167041,0.045:16.356435277896,-4.975:14.7967690730105,-0.49:15.5585956949848,-3.195:16.3314719177421,-7.745:15.8012649810071,-6.4:14.9843251432956,-2.61:14.7097892574979,-2.455:13.7035752634121,-6.665:13.7165146812155,1:16.5420675854018,1.735:16.2149552882516,-2.82:16.4446830313022,5.795:15.0360558325646,-12.54:15.1825030874359,-3.2:15.1443058606197,-3.795:15.1763953230008,-5.685:15.6794698571093,-9.08:14.2598597468559,-5.6:14.1286942071799,-3.53:14.8788137968052,-4.445:14.5831058077489,4.81:16.3077864837629,-2.48:14.0918274187559,0.275:16.9967460121048,-8.73:14.7233521998219,-4.135:15.2992409942454,-1.705:15.7292077041407,-6.015:15.1388498572382,-3.25:16.8412440158083,2.68:14.2656089950622,-1.615:15.1808028443821,-0.19:16.5388602993072,-3.37:14.0364917269238,-2.59:14.798037031985,-4.87:14.6090074953776,-11.745:13.4111884260866,2.62:15.1435002558854,-3.94:13.8270170318836,-4.88:14.8823922808129,5.735:14.6408597766661,-0.505:15.3909055938889,-3.47:15.9320149384816,-7.875:13.4509990335291,7.3:16.0990682960226,2.64:16.6814387868673,-10.315:16.1125967801593,-9.245:13.1819943483526,1.78:15.0453182086654,-5.145:14.8126289023927,-9:12.5630410331257,6.385:14.9548244723902,-6.84:16.1333319559228,7.75:14.65563031739,-0.115:15.6898621727535,-6.35:15.3169024283633,5.42:16.1038380518434,-0.67:15.0113656940333,-3.72:14.4198335635332,-11.62:14.6231186824152,6.865:14.9290580747748,4.645:16.0483324678921,-7.595:14.7088740221677,-1.85:16.2971623296818,-9.34:13.8983596154366,-1.015:15.0427648721902,-7.65:16.819259793463,9.39:14.9324445420032,-9.295:14.0199135161384,-1.02:14.3798331005614,-4.53:15.8766841626329,1.68:16.44650722798,-0.575:16.8776294247741,-1.965:16.0718317251022,-6.495:15.448623725109,-4.9:14.5151644840835,-6.725:15.6716104788244,-4.9:15.5595629758679,-4.085:15.9125037313428,-10.965:12.2626985203095,-4.91:14.1542184524614,-7.93:15.3582258089924,
-4.375:15.538158674695,-7.215:15.3326049645845,-10.95:12.6058518157243,-5.93:15.4348663745431,-4.305:15.2332522791425,-9.565:13.000991308358,-1.41:14.8435811043023,-9.05:14.8992449473119,5.27:16.2482952951994,8.16:16.5409915059527,-6.52:14.7739500472961,-7.17:15.6400479538907,-6.56:14.8857784479012,-8.04:14.7617207669025,-7.565:15.5738811797188,-3.24:14.4600276624908,-11.715:11.4914653112647,0.16:15.7484729418442,-4.78:14.0677503532015,-1.29:16.4184621691558,-7.72:13.7204810411297,-0.485:16.5903518648641,-4.87:15.5770054888608,-6.345:15.3475071265662,-6.33:13.7913414865995,-1.74:15.9543849771779,0.02:13.9728164662676,-5.15:14.9772327217013,2.675:16.6060041852337,4.695:15.2407996837436,-3.81:14.9877916985792,3.445:16.2701252300036,-11.28:14.9730290856593,-4.015:15.3083237162009,-3.005:14.7371969858586,-3.855:15.9340508032327,-8.35:15.142902627964,-5.15:13.3554296074668,-4.245:14.5408037948389,-2.92:16.3338176798935,4.67:15.6442033993425,-3.6:13.3472843679904,-1.18:16.497805914727,-5.91:15.3984382324962,0.445:15.3569845672905,-0.135:16.3011280284525,-7.3:14.7431339951857,-5.005:17.0301196413883,0.73:14.4626104144446,-4.24:14.790280592335,2.28:16.4736638304902,-5.65:13.5833537832157,0.455:15.7171236236151,-6.045:14.8755831818453,-9.92:13.4808605066591,1.095:15.6283708363988,-0.97:15.25316688429,-1.93:15.0274781650149,7.115:15.3486733954437,-2.77:15.0514816546412,-5.285:15.6055687176085,-6.58:14.4354979131307,6.305:16.1994436632867,1.395:16.3269401603607,-8.34:16.8859231314133,-10.295:13.4342091319139,0.355:14.6839700013314,-5.09:15.0917825322259,-8.885:13.1042655269191,6.68:15.0936277945363,-4.995:16.5850829060334,8.48:14.0836642959139,0.635:15.3919386368319,0.43:16.9090242178548,3.235:16.3162426740963,-2.095:15.5876866468376,-4.275:14.237955436087,-12.055:13.3985810815922,6.295:14.1833696630949,3.02:15.2210249326384,-8.155:15.3225642436245,-0.01:16.5054506148727,-9.435:14.7127759107519,-3.795:16.0381724332918,-5.97:16.4960328564173,8.45:14.3299511513473,-7.79:13.5958044999184,-1.015:15.2438438393996,-2.46:16.7639016938182,-1.82:16.1337410416803,-0.275:16.5005871107667,-1.255:15.9949984370115,-8.82:15.2117586097072,-5.54:14.5783538165322,-8.965:15.7344772712664,-4.635:14.8812558273823,-6.31:13.9962102013366,-10.365:11.3746109823589,-6.135:13.5910549627319,-7.265:15.6097653729965,
-6.54:14.95855608005,-6.915:15.7409585159227,-11.075:13.954546750074,-4.645:16.5362926618998,-5.125:16.0277688715554,-11.155:13.4160715188911,-2.97:14.1155623338215,-8.8:13.2068164218331,5.99:15.8508643297456,8.3:15.4741720295465,-6.45:14.7423709083716,-7.56:15.5536619482359,-7.515:14.5361540649513,-6.02:15.437603440949,-8.535:14.4034292791682,-2.015:15.5236843242833,-12.43:9.70644631160138,-1.45:15.7834565289103,-7.285:15.2477465548192,-1.57:16.3580286098295,-7.085:14.8110693401928,-1.56:15.6258247782317,-5.89:15.2570606605598,-8.98:14.1084938955227,-5.205:13.0920958979073,-2.42:14.6742495549176,-1.76:14.3653193490434,-7.965:14.1415619717201,0.415:16.9000821003923,4.075:15.5598642346262,-2.1:15.9298462013919,2.9:15.8889898986688,-11.62:14.3494111377436,-3.02:15.1241396449517,-3.58:15.5304088806445,-6.195:15.820144594788,-8.265:15.6679537591863,-5.115:13.2861497432477,-6.065:14.9823487811491,-0.9:16.6592316749603,4.715:15.2415148525335,-6.45:12.0899751860788,-0.27:16.6921268866493,-8.55:14.8807761894331,1.86:16.1666446735246,-1.47:16.1795889935437,-8.015:13.7464459043056,-6.515:17.4068887225719,1.84:14.3626042206837,-4.665:15.3441446486925,0.205:16.7323929848662,-5.045:14.1757883378668,0.9:15.3346013968411,-3.825:15.5355841538064,-5.74:13.3739448181903,4.57:13.9379015637219,-1.465:14.3523090476759,-2.085:15.0272344428374,6.26:15.1288598380711,-6.285:14.9393364979841,-4.255:15.1357185161458,-5.205:14.0837841150736,4.98:15.9996749966992,2.735:15.2965608879905,-7.09:16.0359564728768,-8.905:13.0811304939596,1.65:15.1824734480255,-5.285:14.5672157600552,-3.88:15.0530927054875,8.195:14.9417862051363,-3.415:16.3680412694983,9.925:14.3408289509359,1.87:15.4059436582119,-1.305:16.2275067401003,5.26:16.3997682910461,1.64:13.8877788000817,-1.665:15.3121773435394,-11.345:14.373099004738,8.62:14.7670443894505,3.425:15.7595804195416,-7.1:15.4087637401577,0.23:16.2974568568228,-7.025:16.2053810507498,-3.18:16.1166870044684,-13.72:12.1029583160482,8.595:15.028671764331,-7.415:14.4458566724165,1.2:15.1188623910663,-4.935:15.8912169137546,-1.76:15.0280537662067,0.81:17.196333911622,-2.54:16.1442993034693,-6.35:16.4458961446313,-7.09:14.1641060430936,-8.985:16.4135546119663,-5.315:15.7979674325528,-6.695:14.4537875658943,-9.665:12.7872113848173,-5.895:13.590584056618,-5.615:16.1826071756068,
-2.88:15.6331570707903,-7.905:15.1965777397413,-11.34:13.3796263027037,-6.5:14.5103411400284,-3.255:15.2905191213379,-9.09:12.9611689287656,-0.635:15.5429011127267,-8.085:14.2572008122212,6.88:15.7272248028697,6.56:16.1640465230709,-5.245:13.7457256992856,-7.34:14.8136558620754,-8.165:14.1611360773068,-6.615:15.8169774293321,-4.445:16.2645926785764,0.17:15.3896426209318,-11.69:9.94152402803514,-0.56:15.0581008098631,-5.605:15.4515039721058,-2.235:16.0003054658341,-8.775:13.5179279107413,-3.855:15.7544906296586,-3.42:16.4186966596012,-6.295:15.0803837815886,-7.3:14.0726685458018,-1.265:15.3946346172944,-4.29:13.8858165046208,-5.905:15.1712219349662,-2.345:17.3717004061203,3.81:14.8453325998443,-4.005:14.6589554539196,5.555:15.7450619242987,-14.025:13.5994255393381,-3.48:15.4029088161944,-1.975:15.9070542527521,-4.77:16.6945230539839,-5.305:16.6139090824526,-7.175:12.8885365732499,-1.805:15.0684098364758,1.89:16.6333370073476,5.51:15.6227366360699,-6.31:12.5069540656388,-0.635:16.3909052526088,-3.585:15.718548756167,2.31:16.2764830353489,-1.065:16.2490238168328,-9.085:14.7155623405971,-7.09:17.3093009679767,2.56:14.8407007920785,-3.955:15.9988429269119,1.27:17.3227336179946,-5.3:13.9222842953303,-1.815:15.3561315115494,-7.065:15.1142573419934,-6.645:12.2363791621541,3.585:15.2467299772771,-1.535:15.6102138037888,-1.24:14.9737236517841,6.59:15.046989732169,-4.76:14.2685808684676,-4.315:15.5616764842352,-5.75:15.0298868924553,7.895:15.175769337994,-0.49:16.4754332264739,-7.645:16.0155853779998,-9.935:12.9081669883837,-0.1:13.84304879714,-5.095:14.7575734794037,-3.69:15.3226596907978,7.14:15.4864586009843,-2.59:16.2616696559732,10.025:14.1765431258823,0.82:14.7860610035263,1.05:16.380399873019,3.455:15.9811756451145,-4.045:15.3063050734003,-2.58:14.6885533664823,-11.625:13.8479014655651,6.645:14.7766361192255,-0.36:16.1496253826521,-8.125:15.4158806105911,-0.69:16.9692044598443,-8.83:15.843014233409,-5.12:14.4805248523664,-11.07:13.9962530700184,4.63:15.1302048895578,-8.735:14.5596969405273,-0.76:15.6151336849865,-6.91:15.1704284712067,-0.995:15.0094961607644,0.98:17.6380157614172,-6.215:15.3251027729017,-5.655:16.2381025677263,-3.955:15.2096342822568,-7.015:16.6154980364718,-5.31:14.1557020313371,-4.735:15.3526797335188,-10.49:12.8829305672273,-5.88:13.7005693312358,-5.305:15.9035208365946,
-3.515:15.8489676319942,-6.35:14.9418037733066,-9.425:13.1941037967723,-2.225:16.8432293518791,-3.015:15.3985315858364,-6.345:14.3002089145579,-3.85:14.5536078001298,-9.345:13.2293603397897,5.305:16.7672888386883,4.735:16.2476082855293,-4.25:15.1356367556836,-5.735:15.5455709126426,-6.405:14.5794710123516,-6.275:15.9455126916635,-6.825:14.9098750833131,-3.785:14.940842513058,-13.27:10.4253105469334,-3.295:14.7776173654619,-3.49:15.3957753945685,2.35:17.1661731320641,-7.845:12.8359251711748,-3.59:15.8777170903124,-4.43:16.2762127044347,-6.6:15.2285915304075,-7.14:14.2555392742611,4.495:15.2124940427269,-0.725:14.2723289970488,-5.955:14.9239061575715,-0.31:16.6332167664586,0.275:16.4966473866662,-4.535:14.4685443289918,3.275:15.342078574952,-12.34:14.8062284191485,-4.03:14.4892753441985,-4.88:16.5639850277643,-5.2:16.1728166996352,-5.745:17.0097023783487,-5.265:13.7726095929566,-1.53:15.0701393490571,0.405:16.0863599052116,4.375:15.3718696000194,-7.915:10.4354096709233,2.495:16.339215862458,-1.67:15.7572554716867,0.98:14.8313721549963,-2.72:16.6592796963134,-7.345:15.8308551569396,-4.555:16.4553023369369,-2.145:15.0037986856662,-6.12:15.0314869523943,1.905:15.5027731390226,-5.54:14.723056747836,-1.12:15.2405905397396,-5.58:15.894137283917,-3.895:13.3590409461159,5.83:16.1719232004113,-1.785:15.3286912357187,-2.055:15.3258596822495,6.3:15.9226254116587,-5.405:15.7680364979283,-6.2:14.7763324272297,-5.405:14.3332123056906,8.05:14.8938745798399,1.52:15.7149482977196,-9.735:16.1748191643678,-9.8:12.1078486941323,0.705:14.8663369731753,-5.855:13.8922271432625,-1.425:14.2128243146814,5.575:15.6854829380545,-3.185:17.7019991808835,7.385:14.5899545921158,-0.485:15.5897329996379,-3.455:16.7313470766702,5.465:16.1254077467827,-5.385:13.9257594047865,1.135:14.8144110581555,-10.13:13.9643510411333,5.815:13.9104556000154,-0.755:15.4626962396601,-7:15.569521508383,1.535:16.8756859119859,-6.685:17.0010521733215,-2.97:15.2121366020688,-13.47:12.2853205086396,8.795:15.176724778423,-10.11:12.8743116320835,-1.62:16.0432415677132,-4.315:15.4630454632973,-3.065:15.215806748247,0.59:17.1855142489249,-6.385:15.6014991266865,-7.465:15.3947645321388,-1.61:15.8350213135316,-6.755:15.9045583088623,-5.06:15.2297866038891,-3.945:16.4058518523117,-11.52:13.2310090318161,-7.73:13.1752457282587,-8.16:15.3813003351472,
-5.65:14.4868043405024,-4.22:16.3841874989271,-11.485:12.824187108741,-5.665:14.8553954844696,0.195:15.6645132385274,-5.41:15.3724396242106,-3.24:14.68,-6.575:15.2438307193435,6.365:17.2858836916138,5.835:16.2990114730925,-4.62:15.2949534160781,-9.265:13.7034585050636,-3.38:15.2024866387049,-8.06:15.6075750839136,-6.36:14.3767312001025,-0.86:16.0574095046493,-10.8:10.3995192196563,3.5:16.0087476087294,-4.515:15.3202406965426,0.455:16.4999386362495,-6.94:14.1409476344409,-0.81:17.0462283218312,-5.045:15.9384119346941,-6.865:14.0906626884615,-6.845:13.9345245702894,3.255:15.0219830581718,-0.155:15.1746820395025,-6.695:14.4104814284603,1.26:15.3092259765149,1.8:15.0505813841194,-2.585:14.8284447937065,2.595:15.7838833941461,-12.175:15.0148051935415,-3.015:14.6872316996771,-3.73:15.6753660244346,-5.425:16.1748067994644,-3.005:16.1463610451396,-7.405:12.9927277736432,-1.2:14.9415527974839,0.25:16.8424315346686,4.99:15.5990352265773,-5.585:11.780610128512,-0.24:16.7072559087362,-4.155:15.2957829155621,-0.025:16.2358977269506,-2.59:15.8417770467836,-8.255:14.2958027056895,-5.245:17.4463456058855,-1.595:15.6895179976952,-5.705:16.0489244187889,0.78:15.4188715540405,-4.895:13.6163128268999,-1.925:14.8784869862496,-4.75:16.1278485855988,-4.05:13.7323523112393,3.89:15.1353196200146,0.405:16.5710885279151,-2.09:15.1532801729527,7.865:14.275740786383,-5.23:15.868746012209,-7.615:14.6896826037869,-5.415:14.9068029771645,9.595:15.6378059522428,0.85:15.5018547277415,-11.025:15.0307809178366,-11.19:12.2365804046719,0.575:14.7059299263936,-4.635:12.4672280399454,-4.385:13.6516216985382,5.075:15.9439447753685,3.96:15.8432446171862,10.225:14.3039985668344,2.195:15.2412917759618,-1.64:16.2533196609185,6.975:15.759897683678,-9.44:12.8692035495597,0.675:15.3143519288281,-14.71:12.0534600841418,7.695:13.6894841027703,-0.965:14.8018166114839,-8.86:15.9568292589725,0.575:16.4594767535302,-8.07:15.440696227826,-0.925:16.307034525014,-10.195:15.1296720056979,7.33:14.224665198169,-9.925:12.7235755587806,-4.99:14.5450988308777,-5.375:15.7808230140256,-3.12:15.9645106407932,1.315:17.4377686359236,-5.48:15.6808673229512,-6.905:14.8106709841249,-2.555:14.5638928518442,-7.895:15.4778543409608,-5.79:14.4324599427818,-4.95:14.8194972924185,-11.15:13.1763993564251,-6.75:12.789741983324,-4.445:16.3531946420264,
