0.776630439285529:0.393428712229003,0.72677649632004:0.424215505713953,0.920522928026698:0.260888174237333,0.726356150883042:0.427100639851867,0.695145176541912:0.442286788659504,0.907164462227672:0.275030412933638,0.888600972718574:0.298814717714412,0.828467508142464:0.356021435906013,0.767058554335609:0.405722722736557,0.871136614245394:0.317285569474946,0.81481731337563:0.370730920985666,0.840778683934096:0.347497532138505,0.780962542080482:0.401480974534408,0.882773673191245:0.304806739672301,0.944454152911721:0.209435685244828,0.910592595498974:0.271112760556382,0.810435529555049:0.3719209250007,0.791554349268036:0.38596479875708,0.887132979893823:0.297652156503831,0.907015935557933:0.270953016235921,0.941881773158217:0.21798895514884,0.961773765027705:0.174710839000785,0.868248000712443:0.318537104522538,0.904165213736252:0.276030381779158,0.928254289905615:0.243905368112441,0.815804006075898:0.36414784279352,0.897276080420121:0.287816586869102,0.946095209587584:0.212347558052632,0.832654672390153:0.352952208233661,0.954147635222088:0.194101613571492,0.87811844146602:0.311138906653126,0.782996379436542:0.391413451169785,0.945581684939149:0.20297876680044,0.765457080689967:0.398771699285474,0.969929950781625:0.157885434387255,0.837677176132762:0.353391271256849,0.746640381694624:0.411608742556895,0.763327219748981:0.404126585272032,0.898376325670201:0.28651905627605,0.853155321062366:0.336017023126817,0.849507014222491:0.339931276420374,0.917083188807175:0.262502762590804,0.783812529353325:0.397901107024284,0.797718008839849:0.382112617249582,0.931156127658365:0.231871794449525,0.859137969431451:0.328452015625466,0.841474172386909:0.346081325625597,0.898373177918326:0.279245058600082,0.844527124963604:0.345630695423997,0.845232224930869:0.34520995806701,0.913823732792264:0.263291590168827,0.927893272498301:0.242110790875134,0.854950526850727:0.334847350436293,0.906552115983947:0.274837357233569,0.798986511968675:0.384964301622557,0.938816281825872:0.220194509424001,0.861460878293739:0.327354776784931,0.8581145332758:0.331245670280816,0.808221305259703:0.381529568446984,0.842955810510876:0.344088607972587,0.860667727681027:0.329828771345703,0.910568507603482:0.268833064972591,0.87223335874346:0.314528450442078,0.703232746302777:0.437266048555938,0.837939336528705:0.354978743048437,0.871348131956627:0.318923035814879,0.841497252671797:0.347669063860512,0.782039175951744:0.394485846831236,0.858708870773751:0.329502368213398,0.906629473243147:0.273997933298494,0.802549503431595:0.376619694999093,0.774393676247432:0.403241486785151,0.90986566751398:0.268262081870657,0.750740614201985:0.419007379305723,0.866585060555177:0.326183845410268,0.818010811046842:0.368161643345018,0.856449199358586:0.32953556419368,0.7350990587568:0.421663014302525,0.877338806195774:0.312971987774055,0.93943032347688:0.227328223018665,0.787211472275521:0.391512014401587,0.911467559959121:0.268503479731687,0.8194216786279:0.370606517068543,0.872405914413978:0.320907337568867,0.888438138770107:0.298427896933107,0.925388708265766:0.244797025531239,0.832007064098739:0.349514039258514,0.902219816061607:0.281623732626488,0.902885734033019:0.283187723697943,0.930350214387977:0.236561786412713,0.803476984801268:0.386213721639263,0.757383809341177:0.410657536114205,0.890798577099001:0.2969296838416,0.84065166983796:0.346628854486544,0.912203053142871:0.263817734342361,0.767508556342054:0.403658893399822,0.829767632571713:0.357901500740502,0.869910154656658:0.321959340668227,0.913994629584545:0.265962496578835,0.957868834967234:0.187739182620696,
0.799035200450097:0.357987461394135,0.724753062808541:0.426399070979724,0.93109709554294:0.22118965115694,0.751167606025852:0.4024556557897,0.769192218803897:0.347887143725308,0.914843021971538:0.24908196633757,0.861917289059702:0.356539308965299,0.827912839404088:0.361999537214307,0.771795126543568:0.399849151270038,0.851996935792307:0.353234315247786,0.775232120351765:0.426569863883979,0.841989603106069:0.345122615954573,0.804153673887318:0.360616963983949,0.897703085308355:0.260265132792034,0.936469336583874:0.241831505034296,0.924790506715143:0.221876661891121,0.824846209641757:0.347727820864736,0.778783184544382:0.401485856471579,0.871013762542034:0.332911943695322,0.8967706124001:0.299774678839485,0.93184745325057:0.25210594456174,0.95883811202613:0.188938690678763,0.875310120189175:0.305778492080453,0.894685847432141:0.303448806131154,0.944186903388776:0.177388090439909,0.817218333556627:0.366542874954315,0.90631717594086:0.258639841766628,0.943341774780945:0.222017144411079,0.858671267785964:0.302933490040459,0.946340106959642:0.22605424179942,0.884935751268391:0.296684402030016,0.735803898240971:0.443545540969478,0.936458426732793:0.244363642278519,0.746400060130008:0.421473017620701,0.965138651877526:0.183768020854945,0.815843075039663:0.380088232591376,0.768881044545852:0.388584695896483,0.764249457561486:0.400958478685001,0.883298157860925:0.317668577786055,0.850581841117214:0.347717479267858,0.858228659675509:0.321345537939147,0.910856623333823:0.28076340616493,0.807639580822201:0.361102733370838,0.794193188085869:0.38577367390912,0.929395319432975:0.235838386591482,0.825030451797059:0.387324532499469,0.856547373739723:0.311369853923293,0.875689673389022:0.334523198587126,0.858871030507667:0.316581980522044,0.853221721296725:0.326496545651499,0.912684406461378:0.267856629341289,0.928128957820649:0.240997491404467,0.816270006120898:0.399355252336375,0.895669287517239:0.302975691885791,0.823018383809885:0.342406418921488,0.935270720513637:0.23158214010618,0.853229339320534:0.342438437855193,0.84506079267081:0.353014446953261,0.827831421373978:0.34614013061648,0.861365386925967:0.309500059890276,0.876336828385124:0.295806785398129,0.905138264159151:0.282668232707179,0.870414519473174:0.320580619230435,0.701933354167208:0.433997739438056,0.849711470313396:0.327730871045361,0.867480769310857:0.327276576714546,0.834215656510813:0.366224814373278,0.780361387971273:0.394090561935437,0.84951643718821:0.345436338982501,0.901848804403516:0.292840406320996,0.792658574134925:0.390505026985684,0.834854554933238:0.292120253275299,0.907490656093909:0.276817744475997,0.772482338962917:0.390426257366529,0.86701772279541:0.327401854641044,0.83203305464371:0.346358573799681,0.851712523719917:0.337025692481847,0.722655768354756:0.432051425178442,0.90325234823136:0.242704504959319,0.942835595472389:0.212807530000966,0.831587959568316:0.31047797596144,0.90710921068727:0.280665303983451,0.828691436348551:0.352340146921925,0.8572651587473:0.35057869138998,0.897522225108518:0.27448974827918,0.914715851360579:0.281426002048141,0.837970683362512:0.339278957593251,0.901858479899282:0.279807052344715,0.895829523955431:0.297449644502037,0.938246742736667:0.202156950213459,0.796658295683643:0.394498321239158,0.806745687387979:0.332125974758865,0.896712955378111:0.280239758006131,0.818876396803839:0.383806030833047,0.89232894559401:0.318794965976364,0.800261158385484:0.353737789316266,0.821429063617481:0.371430850041899,0.862504246527806:0.33471988233626,0.921925963035181:0.236879492239197,0.955275778882947:0.196646204839948,
0.803293825218806:0.370782926230885,0.745673381616584:0.40698256087622,0.939310708323808:0.209814610941514,0.769779999716579:0.389232698461368,0.820981349757189:0.314135091702649,0.896109345546655:0.304714602580239,0.832422706356342:0.379190864680004,0.836636644465473:0.343883128503885,0.821212950623045:0.317261140757509,0.826912884472382:0.376127930522044,0.77554439839787:0.402045025840749,0.793644181905404:0.41529500513906,0.825283425995299:0.344317412934919,0.90270255241716:0.268763882801582,0.913226181441952:0.296114539416738,0.92967866941828:0.231691034777165,0.821444125208803:0.364405373155113,0.797366507378014:0.370152830351411,0.85582499728941:0.347921416872954,0.877951481214301:0.329688511037083,0.920034901454447:0.275131301798908,0.954086565299255:0.200777232652248,0.890808049236929:0.267924978274209,0.859852071316189:0.362292460826541,0.935224256167928:0.242958865050454,0.850527983105548:0.29554159981024,0.902607331131057:0.283985238424284,0.953845334544616:0.168453705667286,0.850524994475063:0.349832558557212,0.941498398104341:0.227733515484704,0.899376492782175:0.267330099632255,0.727943785346661:0.431249593969317,0.94389771471314:0.198251581343844,0.741665072127678:0.422132684675836,0.965227707952081:0.166305958020865,0.816240751995575:0.364160951661069,0.784775168402989:0.384163909098245,0.796577285405997:0.362257623457937,0.881396920178791:0.303558845092888,0.869467312537952:0.297678935256522,0.819019629470519:0.397846245465716,0.910985094087994:0.269418133442795,0.834130076336332:0.333167158070033,0.82772563682807:0.327283849054117,0.924272344605981:0.251908297146084,0.812583168985368:0.37784453970084,0.883054525506725:0.267351868764378,0.856032857346185:0.351708475523678,0.867601304252596:0.308160297434527,0.844030485572424:0.354594824888262,0.903217950278862:0.287413724993516,0.924898234374185:0.250880919016875,0.817005456136208:0.365747149219946,0.868229813066561:0.349890841775996,0.83839865954565:0.335756023195347,0.937276434838495:0.222213217038822,0.848149571497793:0.343836336570366,0.824153862874909:0.379239061222268,0.868378762634392:0.268567296250032,0.855448977968057:0.336755897391856,0.885189467321567:0.292518969939987,0.902100473928227:0.285870648564541,0.857935349221385:0.342913549327697,0.749754380258354:0.382024858856691,0.855039769446063:0.333767153064816,0.860304654742924:0.338110045797564,0.814100434041597:0.389624874150677,0.772318039567996:0.40861434988527,0.854263027945314:0.322674745671904,0.917219219428709:0.233644034932521,0.766845746093456:0.419173959724103,0.879980893835413:0.245724645476915,0.896734250914213:0.301209202168559,0.809361946122557:0.344383752821397,0.875441706833603:0.308355094267406,0.827832352229982:0.366541729512083,0.861590056357091:0.316822345757159,0.693773658198129:0.449294147124386,0.899982764550895:0.286380868020815,0.937819346357911:0.237276465913144,0.857874723694124:0.302816620228627,0.910200615076782:0.265502197814939,0.798529305350883:0.404993070596567,0.853741891501718:0.344555291008246,0.900480471882723:0.279783545173219,0.908777807188965:0.280763626644918,0.856205700126224:0.306540536598631,0.90013059035709:0.286964835961786,0.892910049405422:0.299549515924154,0.932014790288534:0.242529610804573,0.803740601445736:0.376708027664643,0.773291277422727:0.420806680052212,0.885357049826485:0.319126336864309,0.833269626701301:0.340570629586277,0.902026581463941:0.268238984360097,0.77682359397747:0.40972597928335,0.797290061779648:0.401256825746595,0.856968582151635:0.342877874396702,0.9275516130952:0.232630741905354,0.955651910786977:0.191877302530798,
0.814128739231626:0.359592310114813,0.810674817935401:0.307068124436035,0.934673388941152:0.24306688200541,0.78456943437682:0.380737306320561,0.86183789640591:0.282120296532451,0.893767371714381:0.297500824054423,0.82328980292151:0.374933234784672,0.860986369039655:0.298617579453268,0.840206548762722:0.332314246157701,0.804860630608512:0.388740259898554,0.766440276694631:0.412516127309163,0.76187031488818:0.42227782771682,0.847431573355693:0.314726947916189,0.888139191994526:0.316934442759771,0.909062074758833:0.280365626829004,0.930919971882606:0.238768758375352,0.815292630812646:0.377404609681935,0.797117322088301:0.385986976462339,0.850221185734929:0.344595115767597,0.828082952968468:0.395437068205536,0.907932152760363:0.290668602969635,0.956533470093162:0.177277038190919,0.901803877685075:0.260435054927219,0.812261206599179:0.40532122325539,0.945056185862731:0.186342453963964,0.846166324519742:0.340346190313009,0.900927303787222:0.286088154471954,0.950419442156215:0.206642642562653,0.85333392789821:0.335259907284629,0.939497385071009:0.226171982095433,0.899323997565354:0.288166150242256,0.730972445705157:0.421969937276378,0.946068509723153:0.202424314768744,0.736178501577533:0.424674356281752,0.964748208323599:0.168927579083222,0.816741793565181:0.365883790980893,0.803694567186726:0.36614708562868,0.8025650994336:0.373471191623636,0.890166534143569:0.282623708872365,0.876908466651936:0.30165743851984,0.842767810518934:0.319357433745504,0.924229816595531:0.225992296217804,0.869872779568248:0.278228833389392,0.835458439256707:0.34269483769171,0.913866525014815:0.275704885294394,0.820321447870826:0.357203610572128,0.871451246480912:0.326692697443131,0.854829290834543:0.335121956228867,0.872393421046:0.309734328072352,0.834954402470902:0.364545547714465,0.893261671940917:0.304324038865654,0.907306019811247:0.297343112653363,0.825635203892946:0.358465480752166,0.863740430429781:0.33060747753204,0.834653437576143:0.357941241476948,0.936090979994416:0.228458289457998,0.825928347239863:0.378923192025335,0.819302086538441:0.365019438021318,0.896205084249135:0.248648614330809,0.862736439190453:0.316903641659454,0.909562859818404:0.2305872617886,0.901765722356492:0.282981871776422,0.863187664851917:0.31853759223005,0.744509894962477:0.421876920181854,0.878018156657223:0.284639118764665,0.87821854079762:0.287622474885675,0.813510387958631:0.373690638865587,0.758633515801138:0.415935400769391,0.86067857914827:0.318911682410867,0.914979007230329:0.264368308296761,0.749701878890542:0.425547610431383,0.90186371177152:0.25091944423327,0.872102521585727:0.340672873979157,0.81154080411454:0.376832146875279,0.90165236581472:0.246507974088865,0.829753429924573:0.3592296281914,0.902622399643439:0.203263729110803,0.703335346039603:0.430415768842865,0.914566383966693:0.242785614215177,0.946512799355451:0.192216629812974,0.886682531534086:0.25642973791271,0.919471497698544:0.242183585323651,0.799382789880531:0.384019562023988,0.839099289205221:0.367147573687751,0.898234027972043:0.294517542836537,0.90290358040333:0.286384605488015,0.865924322371763:0.308987921037103,0.892374899907716:0.303228054075612,0.893665433323789:0.290923421839546,0.938804376044766:0.205585004658492,0.826996360668182:0.343521436374039,0.760021479158459:0.413885844532566,0.866997483965171:0.34137961950619,0.842418567949563:0.336807725017353,0.912158108399602:0.25593570546081,0.777213748684334:0.39973984689114,0.780984026626485:0.407531356993598,0.867770010136421:0.312571002799625,0.923466772081062:0.251996187375701,0.958132924556701:0.18244369048664,
0.80689711498821:0.377416105854571,0.821756367334449:0.351077810419298,0.940975457531844:0.209316060289461,0.805044339305704:0.362633462555993,0.853632499670668:0.346319560054432,0.894612999655638:0.289711250809173,0.814049692708472:0.379290603096568,0.885971126237334:0.268122959324828,0.86101071329394:0.30800998954414,0.817835517465927:0.3494842741757,0.795057783551613:0.368324785294457,0.773738852480044:0.388975044191539,0.865528903035656:0.303373091986705,0.889404608465033:0.290916350668472,0.912539234200012:0.265146113249888,0.933114709232798:0.230589368613995,0.847260308470939:0.304342634232819,0.791311311344201:0.393294650089461,0.8182738963431:0.394166072933009,0.803760170646348:0.399236637746387,0.916912093416645:0.246590776655851,0.950821635199238:0.209741295243268,0.90048227170347:0.280798927950781,0.774694989330095:0.418416599162303,0.939033812423813:0.237368786016737,0.863698055464558:0.306552164560935,0.891396082828395:0.309597059474288,0.953305628465378:0.183535871015386,0.871155973962196:0.292673411244387,0.945574878301895:0.195478827534042,0.893868461545348:0.301616663100672,0.738556896102688:0.414144433816502,0.946871603259269:0.208124527201408,0.777651482759428:0.363137278888363,0.959686951096236:0.194295962557138,0.832498266425558:0.342131571306432,0.82567836691072:0.333285852928127,0.847586037226004:0.28981733819268,0.88135959401524:0.317112354716655,0.869808052272933:0.324078308451619,0.828092559767:0.373618050114888,0.911570716329442:0.289097504186786,0.885029345720641:0.285568289837293,0.863367947942967:0.29434979277713,0.902535982251985:0.291792294633392,0.821164404878263:0.358639985244101,0.874282402536461:0.312053838605812,0.847912823660947:0.345214306064784,0.882260309932601:0.29312549633808,0.81499794784907:0.389093235893384,0.90783919283466:0.248165274593153,0.869453647192368:0.356649114790067,0.804893976170427:0.393252016410592,0.838169840777027:0.370273462854878,0.860962467908231:0.302057541573803,0.934313503305811:0.232855535447677,0.810674306679239:0.384590126743033,0.814839029494466:0.37224195503179,0.902452600145194:0.2730193553772,0.885337027858681:0.268956685070336,0.907575971148603:0.276339958103123,0.879167805560774:0.331627438599942,0.867421023954729:0.313575341332516,0.749033394315011:0.411216328296162,0.888161740906163:0.280381778346891,0.879533172991027:0.308275007342178,0.791211202417361:0.409155741061863,0.740594913441155:0.429203057327909,0.841860771127156:0.36220014103025,0.928284998246103:0.219667966511647,0.744839686966453:0.415792795748875,0.904094213284023:0.278779464352658,0.855449758146295:0.350844584910441,0.804522081980095:0.3844515331116,0.913850784876767:0.245097498221507,0.852390024399619:0.313291645890538,0.888351072548173:0.312586818487261,0.71862473580479:0.421635707697114,0.895201796528123:0.312771516971598,0.943683360694675:0.221435168487798,0.886085566157505:0.29492089319695,0.907368760764694:0.288683474443532,0.832126486385056:0.322710457154008,0.841115527351071:0.347497403967755,0.888628300579852:0.310531673223444,0.926515241291366:0.196095142923036,0.87910746886152:0.289364439753116,0.883738588726792:0.314126089838571,0.892771980813748:0.297592636931529,0.946245582812114:0.195925058286516,0.863641731213628:0.279493814306178,0.75452403273597:0.414947317490886,0.859678040862376:0.340261588009055,0.840077857589614:0.351003224110483,0.924528534428111:0.215677116786338,0.814681307223488:0.32951991124903,0.780629574541858:0.395279355184283,0.887245789705757:0.273105513331884,0.93232211425523:0.215929064245314,0.958780093901511:0.178954186834319,
