10.4725:15.4158763536167,8.4575:16.8584754278078,19.4375:11.685079963355,9.335:16.6749145425097,9.8275:17.952513577491,17.05:11.8364901892411,17.3225:13.2458859178992,12.36:14.5258528148952,10.59:16.8202823995318,16.2925:13.0570648979776,13.6725:16.5090957883828,14.9975:13.554427090438,13.7275:16.6903637992106,15.8875:12.1568846235374,19.24:9.67276589192563,17.7175:11.4123921134002,12.32:15.3452794044292,11.2025:14.7926161901808,15.55:12.6413013570597,16.83:11.8317834665785,19.33:10.2694254951287,19.35:8.4372685153431,14.3575:12.5313484410098,16.845:11.6752291198075,19.0775:11.4184716030649,12.735:14.7901918513588,17.5:12.642982243126,19.1425:9.54684208259464,14.8225:14.0134219143648,20.2175:9.02580709687505,16.58:13.4734405405598,11.5:15.2885578129528,18.505:9.12879920909645,9.0825:14.7384087930143,21.0125:7.55296920091695,13.82:13.8981149800971,9.2825:15.7487362588241,10.1325:15.1731652515222,15.95:11.7595705703907,14.545:13.7850634746453,14.1325:13.7176872595201,19.6825:12.2683207387971,12.025:16.6939921828183,11.2475:14.709223084514,18.4375:9.45891609805267,14.865:13.4588920420665,14.1475:13.5146492277824,15.575:11.8399482684681,14.8025:14.529228945474,14.56:14.4036939706452,17.6275:11.9161127785029,18.3575:10.4809204629174,14.94:13.4650064983274,16.665:11.7510754826952,13.21:15.4567428651705,17.4075:9.6683216614881,15.0725:13.4652234942462,13.7875:13.4051237871942,13.3925:15.8848495035364,14.935:13.7706490406226,15.3625:13.791341260008,18.065:11.3397872555,15.37:13.5221337073703,8.1975:16.3299875612322,14.5525:14.5975081349523,16.0725:13.4759876725233,14.85:15.1141490001918,11.5025:15.5908625082129,14.4575:13.7988475515168,17.3575:11.8606363130314,11.3275:15.0783037424639,11.4675:16.3653274867935,17.22:11.3018405580684,10.9175:16.8948422232941,15.945:13.6184424586661,13.3725:15.0566843544653,14.225:13.0347372432282,10.2975:15.4260816071354,17.05:12.4872935418368,19.5925:9.83419766681553,11.535:15.1241123706484,17.605:11.1334619503549,13.975:15.1714987723692,16.8825:14.0416770276915,17.3675:12.3394669151467,18.0125:11.0601692459926,11.8275:13.6560515431804,17.15:11.6697257894091,17.3625:12.1157374414437,18.1:10.0578327685441,13.425:16.2423635903153,10.99:16.5107510428811,17.51:13.2887132559928,12.7675:14.3657037331973,16.4875:10.4462837291546,9.905:16.428967557336,13.565:13.9676689178975,15.4375:13.8004019416103,17.415:11.3314948263678,20.54:9.02349156369085,
11.4975:13.3745838720313,8.62875:16.4930288303877,19.93625:10.1106762879641,10.285:16.6093279514856,12.75:14.8421778641141,17.125:11.1539230766578,16.3675:14.5403694502581,12.415:14.6413489815659,10.95375:16.0373530780488,14.45125:14.1360496603542,11.815:18.1631686043487,14.89375:13.8228397950638,14.52625:14.4457389911351,16.28:11.2893863318606,19.07875:10.9968492646758,18.2375:9.97264727893251,12.94:14.5791426359714,10.88625:14.7431373865945,15.09125:13.5002756916294,16.51375:12.588426976791,18.79125:11.3209427058881,19.33875:8.26832774809997,14.4475:12.7084064205549,16.53375:13.1521098592583,19.61875:8.73895874804315,12.95875:14.3109815788436,17.75:11.0776802625821,18.93:10.1184333644097,15.83125:12.2241318710164,19.62625:10.1788395704029,17.1:13.4350511722137,9.76:16.6393990276091,18.205:10.578798372216,8.96625:15.7620588756672,20.985:8.72901447759139,12.6:14.9718268758358,10.39375:15.4738480992932,10.0275:15.2730643208886,15.6975:12.0661499659171,14.6575:14.9907338045874,14.23625:13.5062726168251,18.89375:12.7827608520225,13.45625:14.8796788859841,11.16375:15.271660027646,18.18625:9.68198197684752,13.32625:15.5219954822181,14.76875:12.5318753584609,14.97375:13.3290563713265,15.25875:13.0266563246291,14.89625:13.6421568584297,17.52:11.9453900626978,18.0825:10.4218733320838,13.2425:15.9733520276741,16.3475:12.5446841331299,14.22375:14.1945797313622,17.22375:9.93168666440902,14.33625:13.8865042397286,13.16625:13.9926042965561,14.36875:14.8546617262057,15.43625:13.0364333216567,16.12:12.3791152248454,17.82625:12.4272822350665,15.37375:13.5480623614597,7.9925:16.4385931195465,14.85:13.8865310193007,15.7525:13.5626488471095,14.86375:16.2930197860925,10.85:15.7034548348445,14.27625:13.4616483017497,17.43875:12.6293151041535,11.5625:14.9880450276212,14.3925:12.9385738684756,17.42:11.8741568121699,11.635:16.6345497008485,16.2275:14.1263901970744,13.90875:14.0489136590699,13.98:12.7970611860692,9.65125:16.0577076508448,18.17:10.2184098567243,19.82875:9.74272934038507,13.40875:12.9777769186406,17.5:12.2826697016569,14.4025:14.5193353842385,16.11875:15.0355902777377,17.63875:12.1579973679879,17.62125:11.9382620175635,12.24125:13.5750128913383,17.475:11.9272796563173,16.6725:12.5921480991132,18.43375:9.02487915431558,12.77375:17.3592192724788,12.62375:13.9995069109594,17.31625:12.503699202636,11.9475:15.3054318380763,16.09625:12.6583164362406,11.1875:14.1786494420308,13.3025:14.2868260995926,14.77875:13.6733536486116,17.9:10.7117587258116,20.3375:9.9283319344188,
11.79375:13.8131060952995,9.364375:16.4217843123091,19.815625:9.92909739100186,10.7775:15.3512898480877,14.545:13.4971997095694,16.2475:12.3653993061284,15.2475:15.4195085443733,12.9775:13.6487508585951,13.094375:13.8331043153733,13.016875:14.2981884779157,11.84125:16.6850215387934,12.706875:16.5258766787121,14.803125:14.0480817195801,16.61125:10.5555290606393,17.948125:12.9878479260423,18.8175:10.2759181463264,13.00625:14.8164517935301,11.821875:14.8560995469874,14.675625:13.7975505072458,15.771875:13.2973343193288,18.518125:12.5773596195704,19.130625:8.87025894492376,15.06125:11.017911553466,15.046875:14.5654179480027,19.388125:11.1674837698561,14.073125:11.735516339301,17.56875:11.815978323863,19.24125:8.24149523751606,14.976875:14.1071788019434,19.550625:9.69197477297584,17.84375:11.8780193529898,9.6275:16.6673325700305,18.49:9.21598475476169,8.895625:16.0951661998253,20.98:8.0330178015488,12.15625:13.7847685417638,11.041875:15.3835594060673,11.69125:14.0169174571301,15.6475:11.8878296484262,15.04875:12.6748333322375,12.575625:15.2858684738552,18.591875:12.6868396379871,14.965625:13.9758497058319,12.834375:12.8660396004365,17.785625:10.50627312609,12.433125:15.0127745603536,15.776875:11.0516412808234,14.080625:13.4386511134861,15.356875:12.3536624124184,14.493125:14.6760655490496,17.045:12.4000040322574,17.94125:11.3015485664576,13.29:15.2139276240555,15.475:14.2840643288246,14.776875:14.1804830665249,17.531875:9.98270504422524,13.918125:13.8592929112563,12.069375:15.04316269107,15.783125:11.8965748747276,14.930625:13.2538437820883,16.525:12.7338171810341,17.455625:12.5230896746769,14.504375:13.9471063307053,9.9875:14.862610596729,15.205:13.6369498055834,15.505:13.7348532482149,13.904375:16.1716410731874,10.47125:16.5509499349735,14.533125:13.2738803670969,18.021875:9.97015421144527,10.805:16.0482162170753,16.46:10.9929178906239,17.06125:12.2484282154895,12.66875:14.0626808877255,16.6775:13.2603259292523,14.144375:15.2312376384849,14.3625:12.3608242039113,8.580625:16.4266521239113,17.5975:11.9509152369181,19.214375:11.0627754203003,14.790625:12.1956034598539,17.4875:11.3262692445483,13.02875:16.2194628456062,15.968125:14.9169096581698,17.653125:11.9773512827336,17.404375:11.6577160606184,13.335625:11.9691311297019,17.65375:11.5991139208993,16.585:12.586103199561,18.165625:10.5667872955785,13.184375:15.5436795836764,11.061875:16.8255757702374,17.141875:14.2555758827906,12.64625:13.5357295702892,16.956875:11.3390561225351,10.2075:16.1889080468696,12.4125:15.8568437512009,14.780625:13.864349741333,18.30125:10.1670543300407,20.4325:9.47545480438801,
12.179375:13.849576708333,12.1021875:12.7064707924742,19.8103125:11.2112432406045,10.8225:15.1302658188811,16.1325:12.613151866207,16.265:12.9725746769868,15.10375:15.5662583815122,14.15:12.2138648162652,13.9146875:13.8010787621838,12.0146875:14.9235499714378,11.660625:16.469353357069,11.1896875:15.7082858310511,15.2128125:12.7847563038957,16.179375:12.7792309529956,18.1778125:12.4854492810631,19.125:10.5664773576628,12.843125:15.5532183164771,11.7809375:14.9267344050867,14.0803125:14.004277025252,13.6659375:15.544014925366,17.8090625:13.65466953097,19.0853125:7.9629391558645,15.588125:10.9848429665608,13.0446875:16.6753019088111,19.5065625:9.52991998917095,13.6628125:13.4208324536893,17.495625:12.2598529253005,19.030625:9.19144167146809,14.6809375:13.1706786081811,19.4965625:9.92555760398377,17.894375:12.5308409534237,9.49375:15.6990572965385,18.6125:9.41779034593572,9.0065625:15.4401649521629,20.7675:8.5130473392317,12.014375:13.7873581135038,12.3159375:14.7296266076232,12.000625:14.6116015549289,16.27875:11.2739478444776,15.305625:12.7908597736821,13.2065625:12.6303639595223,18.9709375:11.1129429045595,16.6490625:12.3256620004769,13.2784375:13.0998280045961,17.1315625:10.8341817296001,12.6490625:13.6914854928163,15.5784375:12.6970705282754,14.0953125:13.1655953150627,15.4696875:12.2545172793546,14.3715625:15.1333241556507,16.13375:12.9032164110349,17.283125:12.3294109753873,13.63:14.7456468152469,15.47625:13.3865415156418,14.1346875:14.9858247604194,17.5509375:10.1449544109375,13.0890625:15.29452189511,11.7634375:14.9416596718705,16.9053125:11.3530499756673,14.6990625:13.3801697952605,17.45:10.4768494787317,17.4303125:12.1466445984066,14.8509375:12.5826664006482,10.16875:16.3953499505195,15.86375:12.4364180433918,16.2325:12.4989359547123,13.5159375:15.6724676981642,9.614375:15.9998029284738,14.7428125:13.1495339746319,17.8109375:11.1332834330219,10.35625:16.4021018089146,17.5775:11.0700937213738,15.803125:13.6469034949325,12.814375:15.8955465461242,18.03375:11.3933269943419,14.1909375:15.4062030932349,16.315:9.37021577926571,9.4665625:15.8747675179827,18.26375:11.0270168223323,19.4546875:9.2990308634825,16.2265625:10.92032937919,17.97625:11.3070232599036,12.843125:15.6181046785453,15.2803125:15.7480615870653,17.9628125:12.5991366271662,17.1021875:11.8416637344589,13.8353125:12.4660649364585,17.763125:12.1863137884268,16.19875:12.5489977189415,18.5240625:9.45217931220097,14.4609375:14.4657731818939,10.7109375:15.9085008721752,15.9209375:14.5027583583262,13.244375:13.3068664136227,17.7359375:11.3154661857124,10.22875:15.3239192114811,11.79:16.3723682999742,15.4603125:13.5168561433493,17.749375:10.8817964394672,20.72625:9.10025274374289,
11.9884375:14.9424393507218,12.73359375:13.9539161169902,20.25640625:9.32196297729186,11.92375:14.4067475510609,15.5875:14.473275156301,16.36375:12.4319585645223,14.329375:15.6480661744511,15.405:11.2358533276294,14.88234375:13.4594762156631,12.40484375:13.4301144820139,12.3965625:14.902179161116,11.16734375:15.3335897623485,15.76015625:11.6392845033533,16.2559375:12.1370071990586,18.40640625:12.0969737951274,18.71:10.3415654037481,13.7465625:12.0953503463108,11.42171875:15.4312537970834,12.75640625:16.0440158236646,12.36921875:16.4367650025788,18.19078125:11.2663101213308,18.73515625:8.94660689870747,15.5478125:11.5617880861915,11.18234375:16.3982499066211,19.24578125:11.4527191094517,14.38390625:11.9471325011486,17.3678125:13.3246913660317,19.0190625:8.53331376137078,15.20796875:12.1047418394611,19.44828125:8.95488693395957,17.5346875:13.2190913076505,9.546875:15.6800829079441,18.80375:9.75422857021507,10.52453125:14.1403922770905,20.52875:9.19760294859481,12.8334375:13.1225662029193,13.13421875:13.529236628502,14.2090625:12.2777519827532,16.031875:13.0772235203043,14.9165625:13.4532242882515,12.72578125:14.6417203565701,18.33796875:13.326026226899,17.19453125:12.6357587821231,14.98796875:11.9889946930508,16.71078125:11.5161147962323,12.60203125:14.0118512338663,15.56921875:12.7311193537725,13.53140625:13.7915352209245,15.97859375:12.0199768614586,13.56703125:16.3673789517442,16.210625:10.5171214574141,15.5565625:14.4000381943938,12.24625:16.3726477318117,14.131875:14.6849359464044,15.22484375:12.6972743138045,17.45421875:9.67314290962353,12.16703125:15.2597501617818,11.82296875:14.6026947427521,17.43890625:12.6624146097812,15.34078125:11.3162358472241,17.2775:11.7738683107974,16.30890625:13.9031415065085,14.89421875:12.6573533469679,10.421875:16.306267966644,15.924375:11.6193706800325,16.3775:12.7147353000367,12.73046875:17.0403044280318,9.0234375:16.4862198138324,13.82765625:14.4972357278897,18.69546875:9.66532979261443,10.196875:15.1379025545153,17.71125:11.9958732487468,15.0353125:14.2093611309587,12.5696875:15.5278580300053,18.699375:10.8271314298848,14.80796875:12.631879313863,15.8375:12.6722294802454,10.10078125:16.1393858309416,17.481875:13.2489622235102,19.48609375:10.1754456290621,15.67578125:12.3654508611696,17.074375:12.5420390587017,13.9003125:13.4981737190629,15.21890625:15.3364824438331,17.30515625:13.6423327825559,17.87609375:9.16064954028916,14.72515625:11.6825414615143,17.1228125:12.8823403832533,16.243125:12.5851040420809,19.03703125:9.166651515139,15.82296875:12.4938294769858,10.46921875:16.1242284699145,15.33296875:14.5893788421577,13.2571875:13.7208636754397,17.96421875:9.60080432828417,11.529375:13.3454524089669,12.32625:15.9453314092244,16.43890625:11.466612130442,18.1146875:9.42176204326983,20.556875:8.73741058609472,
